AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
15,2013,21,0,2000,10047
16,2013,26,0,1000,7069
17,2013,20,0,1000,8985
1,2014,0,0,12000,49441
2,2014,0,0,10000,45345
3,2014,0,0,9000,43492
4,2014,0,0,9000,46848
5,2014,0,0,8000,52553
6,2014,0,0,8000,51110
7,2014,0,0,6000,48225
8,2014,0,0,6000,46864
9,2014,0,0,6000,42619
10,2014,4,0,6000,37188
11,2014,2,0,5000,35941
12,2014,12,0,4000,30625
13,2014,32,0,4000,24035
14,2014,41,0,3000,15117
15,2014,25,0,2000,10309
16,2014,21,0,1000,7206
17,2014,30,0,1000,9237
1,2015,0,0,12000,49347
2,2015,0,0,10000,46451
3,2015,0,0,9000,43075
4,2015,0,0,9000,46150
5,2015,0,0,8000,52711
6,2015,0,0,8000,53103
7,2015,0,0,6000,49120
8,2015,0,0,6000,47094
9,2015,2,0,6000,44126
10,2015,6,0,6000,37521
11,2015,7,0,5000,36379
12,2015,16,0,4000,31035
13,2015,25,0,4000,25334
14,2015,29,0,3000,15984
15,2015,34,0,2000,10604
16,2015,27,0,1000,7384
17,2015,24,0,1000,9459
1,2003,0,1,12000,22865
2,2003,0,1,10000,24126
3,2003,0,1,9000,24624
4,2003,0,1,9000,22594
5,2003,0,1,8000,22599
6,2003,0,1,8000,23515
7,2003,0,1,6000,21309
8,2003,0,1,6000,19590
9,2003,0,1,6000,18966
10,2003,3,1,6000,17046
11,2003,10,1,5000,13516
12,2003,23,1,4000,9208
13,2003,13,1,4000,6612
14,2003,12,1,3000,4883
15,2003,25,1,2000,3961
16,2003,11,1,1000,2461
17,2003,7,1,1000,1623
1,2004,0,1,12000,22694
2,2004,0,1,10000,23799
3,2004,0,1,9000,24788
4,2004,0,1,9000,23073
5,2004,0,1,8000,22774
6,2004,0,1,8000,23499
7,2004,0,1,6000,22104
8,2004,0,1,6000,19614
9,2004,1,1,6000,19368
10,2004,4,1,6000,17301
11,2004,8,1,5000,14392
12,2004,17,1,4000,9698
