AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
1,2014,0,0,12000,2314
2,2014,0,0,10000,2213
3,2014,0,0,9000,2072
4,2014,0,0,9000,1976
5,2014,0,0,8000,1738
6,2014,1,0,8000,1926
7,2014,1,0,6000,1853
8,2014,0,0,6000,1771
9,2014,0,0,6000,1665
10,2014,7,0,6000,1601
11,2014,10,0,5000,1650
12,2014,7,0,4000,1571
13,2014,13,0,4000,1319
14,2014,13,0,3000,894
15,2014,9,0,2000,637
16,2014,13,0,1000,444
17,2014,17,0,1000,583
1,2015,0,0,12000,2311
2,2015,0,0,10000,2267
3,2015,0,0,9000,2026
4,2015,0,0,9000,1925
5,2015,0,0,8000,1731
6,2015,0,0,8000,1996
7,2015,0,0,6000,1870
8,2015,0,0,6000,1750
9,2015,0,0,6000,1698
10,2015,3,0,6000,1591
11,2015,10,0,5000,1657
12,2015,11,0,4000,1585
13,2015,14,0,4000,1381
14,2015,4,0,3000,941
15,2015,9,0,2000,646
16,2015,6,0,1000,451
17,2015,13,0,1000,596
1,2003,0,1,12000,1048
2,2003,0,1,10000,1237
3,2003,0,1,9000,1334
4,2003,0,1,9000,1087
5,2003,0,1,8000,833
6,2003,0,1,8000,931
7,2003,0,1,6000,878
8,2003,0,1,6000,907
9,2003,2,1,6000,896
10,2003,4,1,6000,875
11,2003,3,1,5000,729
12,2003,3,1,4000,553
13,2003,7,1,4000,428
14,2003,2,1,3000,310
15,2003,9,1,2000,276
16,2003,5,1,1000,172
17,2003,2,1,1000,89
1,2004,0,1,12000,1040
2,2004,0,1,10000,1215
3,2004,0,1,9000,1329
4,2004,0,1,9000,1097
5,2004,0,1,8000,827
6,2004,0,1,8000,916
7,2004,0,1,6000,899
8,2004,0,1,6000,886
9,2004,3,1,6000,897
10,2004,4,1,6000,870
11,2004,2,1,5000,762
12,2004,3,1,4000,572
13,2004,2,1,4000,434
14,2004,7,1,3000,317
15,2004,8,1,2000,270
16,2004,4,1,1000,181
17,2004,5,1,1000,96
1,2005,0,1,12000,1035
2,2005,0,1,10000,1192
3,2005,0,1,9000,1311
4,2005,0,1,9000,1113
5,2005,0,1,8000,822
6,2005,0,1,8000,903
7,2005,0,1,6000,917
8,2005,0,1,6000,875
9,2005,2,1,6000,894
10,2005,5,1,6000,868
11,2005,2,1,5000,790
12,2005,4,1,4000,598
13,2005,3,1,4000,439
14,2005,1,1,3000,321
15,2005,5,1,2000,262
16,2005,3,1,1000,189
17,2005,3,1,1000,105
1,2006,0,1,12000,1031
2,2006,0,1,10000,1174
3,2006,0,1,9000,1289
4,2006,0,1,9000,1129
5,2006,0,1,8000,818
6,2006,0,1,8000,894
7,2006,0,1,6000,929
8,2006,2,1,6000,874
9,2006,3,1,6000,880
10,2006,3,1,6000,866
11,2006,3,1,5000,811
12,2006,10,1,4000,631
13,2006,5,1,4000,448
14,2006,6,1,3000,329
15,2006,6,1,2000,256
16,2006,8,1,1000,192
17,2006,7,1,1000,115
1,2007,0,1,12000,1042
2,2007,0,1,10000,1156
3,2007,0,1,9000,1262
4,2007,0,1,9000,1137
5,2007,0,1,8000,815
6,2007,0,1,8000,889
7,2007,0,1,6000,935
8,2007,0,1,6000,880
9,2007,1,1,6000,861
10,2007,1,1,6000,870
11,2007,4,1,5000,820
12,2007,2,1,4000,666
13,2007,7,1,4000,465
14,2007,3,1,3000,338
15,2007,6,1,2000,254
16,2007,8,1,1000,195
17,2007,6,1,1000,126
1,2008,0,1,12000,1061
2,2008,0,1,10000,1141
3,2008,0,1,9000,1234
4,2008,0,1,9000,1135
5,2008,0,1,8000,820
6,2008,0,1,8000,888
7,2008,0,1,6000,935
8,2008,0,1,6000,892
9,2008,4,1,6000,846
10,2008,2,1,6000,877
11,2008,6,1,5000,823
12,2008,6,1,4000,703
13,2008,10,1,4000,482
14,2008,8,1,3000,345
15,2008,9,1,2000,255
16,2008,8,1,1000,192
17,2008,6,1,1000,138
1,2009,0,1,12000,1089
2,2009,0,1,10000,1125
3,2009,0,1,9000,1203
4,2009,0,1,9000,1127
5,2009,1,1,8000,828
6,2009,0,1,8000,889
7,2009,0,1,6000,927
8,2009,1,1,6000,907
9,2009,2,1,6000,830
10,2009,3,1,6000,882
11,2009,1,1,5000,823
12,2009,6,1,4000,743
13,2009,13,1,4000,499
14,2009,7,1,3000,354
15,2009,4,1,2000,256
16,2009,6,1,1000,189
17,2009,8,1,1000,151
1,2010,0,1,12000,1124
2,2010,0,1,10000,1113
3,2010,0,1,9000,1172
4,2010,0,1,9000,1112
5,2010,0,1,8000,841
6,2010,0,1,8000,888
7,2010,0,1,6000,915
8,2010,0,1,6000,918
9,2010,1,1,6000,823
10,2010,3,1,6000,880
11,2010,3,1,5000,824
12,2010,5,1,4000,773
13,2010,10,1,4000,524
14,2010,4,1,3000,365
15,2010,9,1,2000,261
16,2010,4,1,1000,186
17,2010,5,1,1000,162
1,2011,0,1,12000,1153
2,2011,0,1,10000,1104
3,2011,0,1,9000,1144
4,2011,0,1,9000,1090
5,2011,0,1,8000,857
6,2011,0,1,8000,892
7,2011,0,1,6000,910
8,2011,0,1,6000,922
9,2011,0,1,6000,824
10,2011,3,1,6000,872
11,2011,7,1,5000,827
12,2011,4,1,4000,797
13,2011,3,1,4000,557
14,2011,10,1,3000,378
15,2011,7,1,2000,266
16,2011,5,1,1000,182
17,2011,5,1,1000,173
1,2012,0,1,12000,1168
2,2012,0,1,10000,1108
3,2012,0,1,9000,1119
4,2012,0,1,9000,1067
5,2012,0,1,8000,869
6,2012,0,1,8000,896
7,2012,0,1,6000,909
8,2012,0,1,6000,921
9,2012,0,1,6000,832
10,2012,5,1,6000,856
11,2012,8,1,5000,836
12,2012,6,1,4000,810
13,2012,2,1,4000,592
14,2012,3,1,3000,397
15,2012,6,1,2000,271
16,2012,6,1,1000,182
17,2012,13,1,1000,182
1,2013,0,1,12000,1176
2,2013,0,1,10000,1122
3,2013,0,1,9000,1094
4,2013,0,1,9000,1041
5,2013,0,1,8000,875
6,2013,0,1,8000,913
7,2013,0,1,6000,915
8,2013,1,1,6000,915
9,2013,0,1,6000,847
10,2013,2,1,6000,838
11,2013,8,1,5000,846
12,2013,6,1,4000,819
13,2013,6,1,4000,627
14,2013,8,1,3000,419
15,2013,9,1,2000,276
16,2013,5,1,1000,183
17,2013,4,1,1000,190
1,2014,0,1,12000,1180
2,2014,0,1,10000,1144
3,2014,0,1,9000,1071
4,2014,0,1,9000,1017
5,2014,0,1,8000,877
6,2014,0,1,8000,938
7,2014,1,1,6000,928
8,2014,0,1,6000,903
9,2014,0,1,6000,866
10,2014,7,1,6000,828
11,2014,8,1,5000,856
12,2014,4,1,4000,823
13,2014,8,1,4000,663
14,2014,11,1,3000,439
15,2014,6,1,2000,281
16,2014,7,1,1000,187
17,2014,11,1,1000,196
1,2015,0,1,12000,1179
2,2015,0,1,10000,1171
3,2015,0,1,9000,1050
4,2015,0,1,9000,989
5,2015,0,1,8000,872
6,2015,0,1,8000,964
7,2015,0,1,6000,937
8,2015,0,1,6000,891
9,2015,0,1,6000,880
10,2015,1,1,6000,822
11,2015,7,1,5000,859
12,2015,8,1,4000,828
13,2015,7,1,4000,694
14,2015,4,1,3000,469
15,2015,5,1,2000,288
16,2015,2,1,1000,192
17,2015,7,1,1000,201
1,2003,0,2,12000,1034
2,2003,0,2,10000,1101
3,2003,0,2,9000,1275
4,2003,0,2,9000,984
5,2003,0,2,8000,758
6,2003,0,2,8000,860
7,2003,0,2,6000,880
8,2003,1,2,6000,851
9,2003,1,2,6000,836
10,2003,0,2,6000,829
11,2003,0,2,5000,675
12,2003,2,2,4000,521
13,2003,2,2,4000,444
14,2003,2,2,3000,391
15,2003,5,2,2000,379
16,2003,1,2,1000,256
17,2003,1,2,1000,220
1,2004,0,2,12000,1026
2,2004,0,2,10000,1085
3,2004,0,2,9000,1269
4,2004,0,2,9000,999
5,2004,0,2,8000,756
6,2004,0,2,8000,858
7,2004,0,2,6000,899
8,2004,0,2,6000,830
9,2004,1,2,6000,839
10,2004,0,2,6000,827
11,2004,2,2,5000,702
12,2004,1,2,4000,535
13,2004,1,2,4000,451
14,2004,6,2,3000,389
15,2004,9,2,2000,368
16,2004,3,2,1000,268
17,2004,4,2,1000,232
1,2005,0,2,12000,1017
2,2005,0,2,10000,1071
3,2005,0,2,9000,1252
4,2005,0,2,9000,1023
5,2005,0,2,8000,756
6,2005,0,2,8000,855
7,2005,0,2,6000,918
8,2005,0,2,6000,816
9,2005,1,2,6000,832
10,2005,0,2,6000,824
11,2005,1,2,5000,728
12,2005,3,2,4000,553
13,2005,2,2,4000,453
14,2005,6,2,3000,392
15,2005,4,2,2000,357
16,2005,4,2,1000,277
17,2005,4,2,1000,246
1,2006,0,2,12000,1013
2,2006,0,2,10000,1058
3,2006,0,2,9000,1228
4,2006,0,2,9000,1045
5,2006,0,2,8000,756
6,2006,0,2,8000,856
7,2006,0,2,6000,930
8,2006,0,2,6000,814
9,2006,4,2,6000,816
10,2006,2,2,6000,825
11,2006,0,2,5000,742
12,2006,4,2,4000,583
13,2006,6,2,4000,461
14,2006,3,2,3000,394
15,2006,6,2,2000,347
16,2006,3,2,1000,280
17,2006,7,2,1000,263
1,2007,0,2,12000,1022
2,2007,0,2,10000,1049
3,2007,0,2,9000,1200
4,2007,0,2,9000,1058
5,2007,0,2,8000,760
6,2007,0,2,8000,857
7,2007,0,2,6000,937
8,2007,0,2,6000,820
9,2007,0,2,6000,795
10,2007,0,2,6000,830
11,2007,5,2,5000,752
12,2007,3,2,4000,610
13,2007,4,2,4000,475
14,2007,2,2,3000,398
15,2007,2,2,2000,342
16,2007,1,2,1000,279
17,2007,9,2,1000,280
1,2008,0,2,12000,1038
2,2008,0,2,10000,1042
3,2008,0,2,9000,1169
4,2008,0,2,9000,1062
5,2008,0,2,8000,770
6,2008,0,2,8000,865
7,2008,0,2,6000,937
8,2008,0,2,6000,832
9,2008,0,2,6000,775
10,2008,1,2,6000,836
11,2008,1,2,5000,755
12,2008,1,2,4000,643
13,2008,4,2,4000,490
14,2008,6,2,3000,401
15,2008,3,2,2000,340
16,2008,6,2,1000,275
17,2008,3,2,1000,299
1,2009,0,2,12000,1061
2,2009,0,2,10000,1034
3,2009,0,2,9000,1136
4,2009,0,2,9000,1058
5,2009,0,2,8000,785
6,2009,0,2,8000,876
7,2009,0,2,6000,929
8,2009,0,2,6000,850
9,2009,0,2,6000,759
10,2009,2,2,6000,840
11,2009,4,2,5000,754
12,2009,2,2,4000,675
13,2009,3,2,4000,504
14,2009,5,2,3000,405
15,2009,2,2,2000,340
16,2009,6,2,1000,268
17,2009,7,2,1000,319
1,2010,0,2,12000,1093
2,2010,0,2,10000,1025
3,2010,0,2,9000,1105
4,2010,0,2,9000,1045
5,2010,0,2,8000,803
6,2010,0,2,8000,886
7,2010,0,2,6000,916
8,2010,0,2,6000,863
9,2010,0,2,6000,749
10,2010,0,2,6000,835
11,2010,1,2,5000,757
12,2010,0,2,4000,704
