AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
15,2013,21,0,2000,6314
16,2013,26,0,1000,4559
17,2013,20,0,1000,5831
1,2014,0,0,12000,29041
2,2014,0,0,10000,26798
3,2014,0,0,9000,25558
4,2014,0,0,9000,29126
5,2014,0,0,8000,34578
6,2014,0,0,8000,31686
7,2014,0,0,6000,29106
8,2014,0,0,6000,28130
9,2014,0,0,6000,25941
10,2014,4,0,6000,22483
11,2014,2,0,5000,21342
12,2014,12,0,4000,18355
13,2014,32,0,4000,14627
14,2014,41,0,3000,9356
15,2014,25,0,2000,6456
16,2014,21,0,1000,4637
17,2014,30,0,1000,5987
1,2015,0,0,12000,29054
2,2015,0,0,10000,27527
3,2015,0,0,9000,25393
4,2015,0,0,9000,28754
5,2015,0,0,8000,34731
6,2015,0,0,8000,32943
7,2015,0,0,6000,29674
8,2015,0,0,6000,28344
9,2015,2,0,6000,26926
10,2015,6,0,6000,22733
11,2015,7,0,5000,21594
12,2015,16,0,4000,18606
13,2015,25,0,4000,15399
14,2015,29,0,3000,9872
15,2015,34,0,2000,6617
16,2015,27,0,1000,4737
17,2015,24,0,1000,6124
1,2003,0,1,12000,13396
2,2003,0,1,10000,13925
3,2003,0,1,9000,14060
4,2003,0,1,9000,13736
5,2003,0,1,8000,14683
6,2003,0,1,8000,14562
7,2003,0,1,6000,12771
8,2003,0,1,6000,11410
9,2003,0,1,6000,11181
10,2003,3,1,6000,9949
11,2003,10,1,5000,7833
12,2003,23,1,4000,5347
13,2003,13,1,4000,4005
14,2003,12,1,3000,3053
15,2003,25,1,2000,2526
16,2003,11,1,1000,1550
17,2003,7,1,1000,1022
1,2004,0,1,12000,13306
2,2004,0,1,10000,13776
3,2004,0,1,9000,14197
4,2004,0,1,9000,14048
5,2004,0,1,8000,14821
6,2004,0,1,8000,14569
7,2004,0,1,6000,13277
8,2004,0,1,6000,11465
9,2004,1,1,6000,11462
10,2004,4,1,6000,10133
11,2004,8,1,5000,8360
12,2004,17,1,4000,5645
13,2004,24,1,4000,4128
14,2004,22,1,3000,3107
15,2004,16,1,2000,2486
16,2004,11,1,1000,1655
17,2004,8,1,1000,1092
1,2005,0,1,12000,13245
2,2005,0,1,10000,13627
3,2005,0,1,9000,14223
4,2005,0,1,9000,14446
5,2005,0,1,8000,14947
6,2005,1,1,8000,14551
7,2005,0,1,6000,13726
8,2005,0,1,6000,11602
9,2005,4,1,6000,11659
10,2005,4,1,6000,10310
11,2005,16,1,5000,8822
12,2005,20,1,4000,6009
13,2005,20,1,4000,4271
14,2005,18,1,3000,3180
15,2005,20,1,2000,2440
16,2005,11,1,1000,1739
17,2005,6,1,1000,1173
1,2006,0,1,12000,13219
2,2006,0,1,10000,13493
3,2006,0,1,9000,14164
4,2006,0,1,9000,14868
5,2006,0,1,8000,15070
6,2006,0,1,8000,14572
7,2006,1,1,6000,14086
8,2006,1,1,6000,11875
9,2006,3,1,6000,11748
10,2006,3,1,6000,10532
11,2006,12,1,5000,9167
12,2006,14,1,4000,6453
13,2006,20,1,4000,4438
14,2006,27,1,3000,3261
15,2006,19,1,2000,2403
16,2006,17,1,1000,1794
17,2006,20,1,1000,1268
1,2007,0,1,12000,13333
2,2007,0,1,10000,13387
3,2007,0,1,9000,14061
4,2007,0,1,9000,15205
5,2007,0,1,8000,15244
6,2007,0,1,8000,14663
7,2007,0,1,6000,14348
8,2007,0,1,6000,12233
9,2007,5,1,6000,11749
10,2007,11,1,6000,10793
11,2007,6,1,5000,9433
12,2007,18,1,4000,6922
13,2007,34,1,4000,4662
14,2007,26,1,3000,3339
15,2007,15,1,2000,2393
16,2007,7,1,1000,1819
17,2007,19,1,1000,1375
1,2008,0,1,12000,13572
2,2008,0,1,10000,13298
3,2008,0,1,9000,13927
4,2008,0,1,9000,15419
5,2008,0,1,8000,15516
6,2008,0,1,8000,14813
7,2008,0,1,6000,14497
8,2008,0,1,6000,12671
9,2008,0,1,6000,11727
10,2008,4,1,6000,11084
11,2008,7,1,5000,9615
12,2008,14,1,4000,7410
13,2008,11,1,4000,4909
14,2008,22,1,3000,3416
15,2008,21,1,2000,2411
16,2008,14,1,1000,1814
17,2008,13,1,1000,1488
1,2009,0,1,12000,13890
2,2009,0,1,10000,13192
3,2009,0,1,9000,13749
4,2009,0,1,9000,15530
5,2009,0,1,8000,15875
6,2009,0,1,8000,14966
7,2009,0,1,6000,14521
8,2009,1,1,6000,13159
9,2009,2,1,6000,11763
10,2009,0,1,6000,11339
11,2009,4,1,5000,9756
12,2009,18,1,4000,7898
13,2009,24,1,4000,5167
14,2009,16,1,3000,3507
15,2009,15,1,2000,2449
16,2009,16,1,1000,1793
17,2009,24,1,1000,1598
1,2010,0,1,12000,14291
2,2010,0,1,10000,13114
3,2010,0,1,9000,13568
4,2010,0,1,9000,15511
5,2010,0,1,8000,16317
6,2010,0,1,8000,15107
7,2010,0,1,6000,14521
8,2010,0,1,6000,13595
9,2010,0,1,6000,11883
10,2010,2,1,6000,11505
11,2010,10,1,5000,9890
12,2010,11,1,4000,8329
13,2010,21,1,4000,5485
14,2010,27,1,3000,3614
15,2010,19,1,2000,2507
